	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_18M_F0 chrm10	4.894468215400034	5.469087962365147	4.586682429050258	0.712722305000012	"[[0.45171896]
 [0.12485009]]"	[0.36179567 0.23285367]	0.9368956352367155
AT2_18M_F0 chrm11	5.993477201467492	6.35186856687576	3.8096346171024855	0.6037595692154343	"[[0.59694227]
 [0.00631277]]"	[0.53590934 0.01670914]	0.6842610008221743
AT2_18M_F0 chrm12	0.41420446264904076	1.0332593364665787	2.428113125430857	0.7320149130512374	"[[0.33599822]
 [0.26595164]]"	[0.3968032  0.23775072]	1.0818315656743138
AT2_18M_F0 chrm13	0.3747856318210886	1.6621027185751729	2.189598812147521	0.8114779047211542	"[[0.41249093]
 [0.25736529]]"	[0.32030303 0.4127688 ]	1.1990752089976828
AT2_18M_F0 chrm14	0.43322132240676436	1.688438502626386	0.8408668921494934	0.7958379835746904	"[[0.28771579]
 [0.3155192 ]]"	[0.28874126 0.32032594]	1.0945724088596132
AT2_18M_F0 chrm15	0.5515065241242934	2.3126726028344615	1.510362996638807	0.7026524000422876	"[[0.46374224]
 [0.105603  ]]"	[0.44456044 0.17532489]	0.9263372330398296
AT2_18M_F0 chrm16	0.4437478824846643	0.254796547561037	0.8798627066422403	0.6412010814374656	"[[0.43488824]
 [0.28646392]]"	[0.3813986 0.2754099]	0.9161356612680194
AT2_18M_F0 chrm17	0.6863765165605449	2.6453790223894473	1.392801982476652	0.701859060344523	"[[0.4836674 ]
 [0.12103605]]"	[0.43888545 0.14996552]	0.8378812721167961
AT2_18M_F0 chrm18	0.8172357716744976	2.632889020191651	1.7475692998536463	0.6294197843034254	"[[0.46795094]
 [0.26262472]]"	[0.38893939 0.31514888]	1.6262243024770435
AT2_18M_F0 chrm19	2.2954120674298926	8.78057764386605	4.360422945083982	0.7608702880746407	"[[0.448176  ]
 [0.23337604]]"	[0.43331668 0.22624091]	0.9106726071237086
AT2_18M_F0 chrm20	1.6219074698013671	4.127727150645619	2.4441943289589583	0.6508757816291209	"[[0.43289916]
 [0.16189757]]"	[0.41028971 0.24894067]	0.9467466464021246
AT2_18M_F10	1.138212237356629	3.7226248341881685	2.1707003958437916	0.7324897896405695	"[[5.12592079e-01]
 [5.39519362e-19]]"	[4.65426410e-01 6.73301701e-19]	0.743064142821239
AT2_18M_F10 chrm1	1.8456140738726337	3.6348146566270096	3.426680072548952	0.6446940810346011	"[[0.59541027]
 [0.01211956]]"	[0.50907268 0.07066784]	0.7384753760730314
AT2_18M_F10 chrm2	0.6465014274958024	2.4685204347346756	1.5231826149420282	0.7638454110733635	"[[0.35807351]
 [0.14281062]]"	[0.2769736  0.14755264]	0.9937324460822363
AT2_18M_F10 chrm3	0.6347859876873254	2.044101429899522	1.153542287425794	0.7725472933407949	"[[0.31467491]
 [0.20229944]]"	[0.21667957 0.30228246]	1.099807313939665
AT2_18M_F10 chrm4	0.8094635137315113	2.8607082003514566	1.71492228314387	0.7291420167226308	"[[0.51144074]
 [0.05033119]]"	[0.49695652 0.08129777]	0.7992355920212246
AT2_18M_F10 chrm5	1.3607718918539442	4.480264883449817	2.3989517443405752	0.6563864549437353	"[[0.57207979]
 [0.042847  ]]"	[0.51928854 0.03996677]	0.7327402275507724
AT2_18M_F10 chrm6	0.3377907352390034	2.060871036759229	1.1833341448681183	0.7608864917928896	"[[0.40043297]
 [0.18986219]]"	[0.39752322 0.20694435]	0.8959814370607843
AT2_18M_F10 chrm7	0.4222526473568444	2.3514681578760093	0.7547084950296857	0.7083660016386608	"[[0.48118333]
 [0.0317322 ]]"	[0.42517949 0.07122816]	0.8360022517444433
AT2_18M_F10 chrm8	0.7596764363063198	2.116642413228512	1.2804046096684574	0.7150770965108302	"[[0.42733526]
 [0.18477716]]"	[0.39428277 0.18679542]	0.9524881372108635
AT2_18M_F10 chrm9	1.6526569556302708	3.77911778645361	2.683836836498362	0.7320454096452758	"[[0.48442692]
 [0.12759204]]"	[0.47976285 0.13075145]	0.824643246771358
AT2_18M_F10 chrm10	6.92911637939076	5.667930274558437	5.427621554697106	0.6592847202336309	"[[0.52265454]
 [0.07370921]]"	[0.44643963 0.08598285]	0.8060736543994562
AT2_18M_F10 chrm11	5.8113889457249766	6.141425917501721	4.005511487184352	0.6206411259963058	"[[0.59624088]
 [0.00518468]]"	[0.50691185 0.0076285 ]	0.6638721169666664
AT2_18M_F10 chrm12	0.6131798900795483	1.9492153632512967	2.7254527135927695	0.7345713623478114	"[[0.47865685]
 [0.21534783]]"	[0.47282717 0.2141976 ]	0.9700867089574471
AT2_18M_F10 chrm13	0.36651835732848076	1.278910527392899	1.0685413626461526	0.7402711580432707	"[[0.34700832]
 [0.35620342]]"	[0.30515152 0.37624218]	1.0516592236846807
AT2_18M_F10 chrm14	0.43912545765527033	0.9329113378865829	0.6793212427450632	0.7488807607344234	"[[0.30173105]
 [0.38623486]]"	[0.24905095 0.45648906]	1.2129938718901072
AT2_18M_F10 chrm15	1.0428851491091597	3.0111675529124824	2.4051378163137604	0.6381723915856133	"[[0.53217326]
 [0.10159225]]"	[0.48706044 0.11566265]	0.8646233898142578
AT2_18M_F10 chrm16	0.46590693299758723	0.3003235494357228	0.9079404515025497	0.6346367938377895	"[[0.4460881 ]
 [0.24574248]]"	[0.36713287 0.26328021]	0.9216691539454059
AT2_18M_F10 chrm17	0.7187500143878471	2.388054281693589	1.681481506104046	0.6856206848237908	"[[0.5170529 ]
 [0.04252266]]"	[0.4499484  0.10200398]	0.779591013322698
AT2_18M_F10 chrm18	1.0232368485699108	3.134247583800895	2.2450265163610648	0.6556652957888661	"[[0.47985373]
 [0.25511772]]"	[0.44863636 0.26741888]	0.9146173669749358
AT2_18M_F10 chrm19	1.9818588523177856	1622.1307523662626	4.164400453762628	0.7855776942569813	"[[0.39272649]
 [0.26323199]]"	[0.3972028  0.29006047]	1.2325402070969438
AT2_18M_F10 chrm20	1.09836340672722	2.7399731332733395	1.6915396239466822	0.6892854557118164	"[[0.50403381]
 [0.16568579]]"	[0.44340659 0.22038536]	0.9090352352355898
